,Manufactures_name,location,Capibality,Materials
0,"A-1 Precision, Inc. ","8014 NE 19th Court, Vancouver, Washington, 98665, United States",Machining,"Aluminum, Stainless Steel, Brass"
1,Spargo Machine Products ,"6 Gear Drive, Terryville, Connecticut, 06786, United States",Machining,"Aluminum, Stainless Steel"
2,"Keystone Machine, Inc. ","115 Newark Street, Littlestown, Pennsylvania, 17340, United States",Machining,"Aluminum, Stainless Steel, Brass"
3,"D & D Precision Machine Co., Inc. ","395 Plymouth Street, Middleboro, Massachusetts, 02346, United States",Machining,Aluminum
4,Hilltop Technology Laboratory  ,"51 Parker, Irvine, California, 92618, United States",Machining,Aluminum
5,TR Manufacturing ,"1106 S. Cowen St, Garrett, Indiana, 46738, United States","3D Printing, Fabrication, Machining","Aluminum, Stainless Steel, Brass, Copper, Titanium"
6,WH Bagshaw Co Inc ,"1 Pine St. EXT, New Hampshire, 03061, United States",Machining,"Aluminum, Stainless Steel"
7,"NORTHROP SALES, INC ","P.O. Box 2907, Ponte Vedra, Florida, 32004, United States","Fabrication, Machining, Sheet Metal","Aluminum, Stainless Steel, Brass"
8,"McKenzie CNC, Inc. ","2254 NW Campus DR, Estacada, Oregon, 97023, United States",Machining,"Aluminum, Stainless Steel"
9,"4th Axis Machine and Design, Inc. ","6575 Labeaux Ave NE, Minnesota, 55301, United States",Machining,Aluminum
10,West Michigan Tube & Wire Forming ,"2724 9th Street, P O Box 4589, Muskegon, Michigan, 49444, United States","Fabrication, Machining, Sheet Metal","Aluminum, Stainless Steel"
11,Machine-Pro Technologies ,"1321 West Market Street, Celina, Ohio, 45822, United States","3D Printing, Fabrication, Machining, Sheet Metal","Aluminum, Stainless Steel, Brass, Wood"
12,MACKENZIE MACHINE ,"171 Mattakeesett Street, Unit 2, Pembroke, Massachusetts, 02359, United States","Fabrication, Machining, Sheet Metal","Aluminum, Stainless Steel, Brass, Titanium"
13,SK International ,"46918 Liberty Dr, Michigan, 48393, United States","3D Printing, Fabrication, Machining, Sheet Metal","Aluminum, Stainless Steel, Brass"
14,ZELTWANGER CNC  ,"4947 Fargo Street , South Carolina, 29418, United States",Machining,"Aluminum, Stainless Steel, Brass, Copper, Titanium"
15,T & T  Machine Inc. ,"892 Callendar Blvd, Painesville, Ohio, 44077, United States",Machining,"Aluminum, Stainless Steel, Brass"
16,Marshall Metal Products Inc ,"13219 15 MILE ROAD, Michigan, 49068, United States","Fabrication, Machining, Sheet Metal","Aluminum, Stainless Steel"
17,Patriot Manufacturing ,"45345 Five Mile Rd., Plymouth, Michigan, 48170, United States","Machining, Sheet Metal","Aluminum, Stainless Steel, Brass"
18,"Qingdao Jinghong Precision Co., Ltd. (USA) ","Donghuangbu Xiazhuang, Chengyang District, Qingdao, 山东 (Shandong), 266107, China",Machining,"Aluminum, Stainless Steel, Brass, Copper, Titanium"
19,HA Industries ,"5510 Gatewood Dr, Michigan, 48310, United States","Fabrication, Machining","Aluminum, Stainless Steel"
20,Next Level Mfg ,"6778 18th Avenue, Jenison, Michigan, 49428, United States",Machining,"Aluminum, Stainless Steel"
21,Starland Metals ,"59917 236th St., Gibbon, Minnesota, 55335, United States","Fabrication, Machining, Sheet Metal","Aluminum, Stainless Steel"
22,Kooima Company ,"2638 310th St, PO Box 156, Rock Valley, Iowa, 51247, United States","Fabrication, Machining, Sheet Metal","Aluminum, Stainless Steel"
23,Hick's Lake Grinding ,"14883 90th Avenue, Evart, Michigan, 49631, United States","Fabrication, Machining, Sheet Metal","Aluminum, Stainless Steel, Wood"
